id	nm	lat	lon	countryCode
1857594	Masuda	34.66667	131.85	JP
1856586	Mori	34.83333	137.9333	JP
1860243	Kanazawa-shi	36.59444	136.6256	JP
1848689	Yamaguchi-shi	34.18583	131.4714	JP
1857496	Matsuzaka	34.56667	136.5333	JP
1860063	Karatsu	33.4425	129.9697	JP
1861677	Imari	33.26667	129.8833	JP
1849183	Ureshino	33.1	129.9833	JP
1860748	Kashima-shi	35.96536	140.6447	JP
1849904	Tosu	33.36667	130.5167	JP
1852899	Sasebo	33.15917	129.7228	JP
1861464	Isahaya	32.84111	130.0431	JP
1852479	Shimabara	32.78333	130.3667	JP
1862555	Hirado	33.35972	129.5531	JP
1864416	Daito	34.7	135.6167	JP
2130629	Asahikawa	43.76778	142.3703	JP
1854665	Ogawa	36.05	139.2667	JP
1861084	Izumo	35.36667	132.7667	JP
1861212	Iwakuni	34.15	132.1833	JP
1851348	Suzuka	34.88333	136.5833	JP
2111684	Narita	35.78333	140.3167	JP
1853190	Sakaide	34.31667	133.85	JP
2127733	Tomakomai	42.63694	141.6033	JP
1857968	Kuwana	35.06667	136.7	JP
1848277	Yonago	35.43333	133.3333	JP
1860034	Kariya	34.98333	136.9833	JP
1856293	Nabari	34.61667	136.0833	JP
1861949	Ichinomiya	35.3	136.8	JP
1850185	Tokoname	34.88333	136.85	JP
1862627	Himeji	34.81667	134.7	JP
1857871	Machida	35.54028	139.4508	JP
1849429	Ueda	36.4	138.2667	JP
1859393	Kisarazu	35.37472	139.9225	JP
1850345	Toba	34.48333	136.85	JP
1860098	Kanuma	36.55	139.7333	JP
